Data Entrada;Data Saída;Ativo;Direção;Volume;Timeframe;Estratégia;Preço Entrada;Preço Saída;Motivo Saída;PnL Bruto;Taxas;Swap;PnL Líquido;Day Trade
2026-06-09 13:26:29;2026-06-09 13:30:37;WINQ26;SELL;1.0;M15;VWAP;173305.0;173195.0;SL_SERVIDOR;22,00;1,20;0,00;20,80;Sim
2026-06-09 13:30:33;2026-06-09 13:31:13;WINQ26;BUY;1.0;M5;VWAP;173195.0;173250.0;SL_SERVIDOR;11,00;1,20;0,00;9,80;Sim
2026-06-09 13:31:17;2026-06-09 13:31:57;WINQ26;SELL;1.0;M15;VWAP;173205.0;173285.0;SL_SERVIDOR;-16,00;1,20;0,00;-17,20;Sim
2026-06-09 13:31:53;2026-06-09 13:32:33;WINQ26;BUY;1.0;M5;VWAP;173285.0;173305.0;SL_SERVIDOR;4,00;1,20;0,00;2,80;Sim
2026-06-09 13:32:37;2026-06-09 13:33:17;WINQ26;SELL;1.0;M15;VWAP;173315.0;173370.0;SL_SERVIDOR;-11,00;1,20;0,00;-12,20;Sim
2026-06-09 13:33:13;2026-06-09 13:33:54;WINQ26;BUY;1.0;M5;VWAP;173375.0;173300.0;SL_SERVIDOR;-15,00;1,20;0,00;-16,20;Sim
2026-06-09 13:33:57;2026-06-09 13:34:37;WINQ26;SELL;1.0;M15;VWAP;173285.0;173370.0;SL_SERVIDOR;-17,00;1,20;0,00;-18,20;Sim
2026-06-09 13:34:33;2026-06-09 13:35:14;WINQ26;BUY;1.0;M5;VWAP;173325.0;173270.0;SL_SERVIDOR;-11,00;1,20;0,00;-12,20;Sim
2026-06-09 13:35:17;2026-06-09 13:40:37;WINQ26;SELL;1.0;M15;VWAP;173260.0;172320.0;SL_SERVIDOR;188,00;1,20;0,00;186,80;Sim
2026-06-09 13:40:34;2026-06-09 13:41:14;WINQ26;BUY;1.0;M5;VWAP;172315.0;172325.0;SL_SERVIDOR;2,00;1,20;0,00;0,80;Sim
2026-06-09 13:41:17;2026-06-09 13:41:58;WINQ26;SELL;1.0;M15;VWAP;172315.0;172350.0;SL_SERVIDOR;-7,00;1,20;0,00;-8,20;Sim
2026-06-09 13:41:54;2026-06-09 13:42:35;WINQ26;BUY;1.0;M5;VWAP;172360.0;172320.0;SL_SERVIDOR;-8,00;1,20;0,00;-9,20;Sim
2026-06-09 13:42:38;2026-06-09 13:43:18;WINQ26;SELL;1.0;M15;VWAP;172325.0;172500.0;SL_SERVIDOR;-35,00;1,20;0,00;-36,20;Sim
2026-06-09 13:43:14;2026-06-09 13:43:55;WINQ26;BUY;1.0;M5;VWAP;172460.0;172585.0;SL_SERVIDOR;25,00;1,20;0,00;23,80;Sim
2026-06-09 13:43:58;2026-06-09 13:44:38;WINQ26;SELL;1.0;M15;VWAP;172570.0;172575.0;SL_SERVIDOR;-1,00;1,20;0,00;-2,20;Sim
2026-06-09 13:44:34;2026-06-09 13:45:15;WINQ26;BUY;1.0;M5;VWAP;172540.0;172720.0;SL_SERVIDOR;36,00;1,20;0,00;34,80;Sim
2026-06-09 13:45:18;2026-06-09 13:46:00;WINQ26;SELL;1.0;M15;VWAP;172740.0;172770.0;SL_SERVIDOR;-6,00;1,20;0,00;-7,20;Sim
2026-06-09 13:45:55;2026-06-09 13:46:37;WINQ26;BUY;1.0;M5;VWAP;172765.0;172695.0;SL_SERVIDOR;-14,00;1,20;0,00;-15,20;Sim
2026-06-09 13:46:40;2026-06-09 13:47:30;WINQ26;SELL;1.0;M15;VWAP;172740.0;172870.0;SL_SERVIDOR;-26,00;1,20;0,00;-27,20;Sim
2026-06-09 13:47:27;2026-06-09 13:48:30;WINQ26;BUY;1.0;M5;VWAP;172870.0;172835.0;SL_SERVIDOR;-7,00;1,20;0,00;-8,20;Sim
2026-06-09 13:48:33;2026-06-09 13:56:13;WINQ26;SELL;1.0;M15;VWAP;172835.0;172855.0;SL_SERVIDOR;-4,00;1,20;0,00;-5,20;Sim
2026-06-09 13:56:10;2026-06-09 13:56:50;WINQ26;BUY;1.0;M5;VWAP;172815.0;172785.0;SL_SERVIDOR;-6,00;1,20;0,00;-7,20;Sim
2026-06-09 13:56:54;2026-06-09 13:58:36;WINQ26;SELL;1.0;M15;VWAP;172780.0;172895.0;SL_SERVIDOR;-23,00;1,20;0,00;-24,20;Sim
2026-06-09 13:58:33;2026-06-09 13:59:13;WINQ26;BUY;1.0;M5;VWAP;172875.0;172955.0;SL_SERVIDOR;16,00;1,20;0,00;14,80;Sim
